Time, Lon, Lat, Depth
02:29:47.00,165.36659836633333,-21.60541783616667,1.79
02:29:48.00,165.36659814516668,-21.60542990400000,1.70
02:29:49.00,165.36659781166668,-21.60544177283333,1.45
02:29:50.00,165.36659721166666,-21.60545287133333,1.14
02:29:51.00,165.36659723750000,-21.60546418583333,1.30
02:29:52.00,165.36659635516668,-21.60547533933333,1.50
02:29:53.00,165.36659643450000,-21.60548640450000,1.58
02:29:54.00,165.36659651750000,-21.60549756600000,1.65
02:29:55.00,165.36659729499999,-21.60550889333333,1.69
02:29:56.00,165.36659727866666,-21.60552014316667,1.71
02:29:57.00,165.36659852899999,-21.60553151000000,1.38
02:29:58.00,165.36659909633335,-21.60554266466667,1.23
02:29:59.00,165.36660018900000,-21.60555315900000,1.38
02:29:60.00,165.36660147066667,-21.60556400783333,1.81
02:30:1.00,165.36660248283334,-21.60557389616667,1.90
02:30:2.00,165.36660325000000,-21.60558387650000,1.92
02:30:3.00,165.36660440716668,-21.60559469250000,1.85
02:30:4.00,165.36660545583334,-21.60560547700000,1.83
02:30:5.00,165.36660636049999,-21.60561646816667,1.79
02:30:6.00,165.36660765500000,-21.60562720316667,1.79
02:30:7.00,165.36660866866666,-21.60563797666667,1.60
02:30:8.00,165.36660955116668,-21.60564896466667,1.60
02:30:9.00,165.36660886583334,-21.60565873150000,1.66
02:30:10.00,165.36660834300000,-21.60566763600000,1.94
02:30:11.00,165.36660853416666,-21.60567619000000,2.00
02:30:12.00,165.36660930883335,-21.60568479700000,1.88
02:30:13.00,165.36661006599999,-21.60569341550000,2.02
02:30:14.00,165.36661092466667,-21.60570200733333,1.87
02:30:15.00,165.36661121033333,-21.60571098300000,1.66
02:30:16.00,165.36661150399999,-21.60571990150000,1.46
02:30:17.00,165.36661140900000,-21.60572900866667,1.73
02:30:18.00,165.36661154133333,-21.60573846650000,1.90
02:30:19.00,165.36661060366666,-21.60574794200000,1.79
02:30:20.00,165.36660883200000,-21.60575751633333,1.67
02:30:21.00,165.36660684766667,-21.60576690116667,1.76
02:30:22.00,165.36660464383334,-21.60577518466667,1.94
02:30:23.00,165.36660178766667,-21.60578349100000,2.00
02:30:24.00,165.36659884549999,-21.60579180316667,1.92
02:30:25.00,165.36659557666667,-21.60579987016667,1.80
02:30:26.00,165.36659268000000,-21.60580765433333,1.61
02:30:27.00,165.36659007899999,-21.60581557116667,1.67
02:30:28.00,165.36658792750001,-21.60582338666667,1.58
02:30:29.00,165.36658549383333,-21.60583086916667,1.48
02:30:30.00,165.36658326049999,-21.60583794633333,1.52
02:30:31.00,165.36658084516668,-21.60584523883333,1.64
02:30:32.00,165.36657820849999,-21.60585242250000,1.77
02:30:33.00,165.36657518566668,-21.60585890016667,1.71
02:30:34.00,165.36657306016667,-21.60586491500000,1.81
02:30:35.00,165.36657001083333,-21.60587030650000,1.82
02:30:36.00,165.36656747750001,-21.60587576233333,1.96
02:30:37.00,165.36656589466668,-21.60588080150000,1.93
02:30:38.00,165.36656381016667,-21.60588572816667,1.88
02:30:39.00,165.36656227216668,-21.60589192383333,1.92
02:30:40.00,165.36656066783334,-21.60589867466667,1.85
02:30:41.00,165.36655894116666,-21.60590583833334,1.87
02:30:42.00,165.36655711949999,-21.60591358033333,1.92
02:30:43.00,165.36655470549999,-21.60592177983333,1.75
02:30:44.00,165.36655359716667,-21.60592895550000,1.75
02:30:45.00,165.36655179566668,-21.60593629566667,1.82
02:30:46.00,165.36655089116667,-21.60594396816667,1.94
02:30:47.00,165.36654943799999,-21.60595282650000,2.01
02:30:48.00,165.36654847349999,-21.60596168533333,2.07
02:30:49.00,165.36654654750001,-21.60597122233333,2.06
02:30:50.00,165.36654387199999,-21.60598072433333,2.07
02:30:51.00,165.36654194783333,-21.60599018350000,2.08
02:30:52.00,165.36653956100000,-21.60599998066667,2.15
02:30:53.00,165.36653810216666,-21.60600927166667,2.16
02:30:54.00,165.36653668899999,-21.60601833616667,2.19
02:30:55.00,165.36653505366667,-21.60602854033333,2.26
02:30:56.00,165.36653311483335,-21.60603905900000,2.23
02:31:0.00,165.36652626200001,-21.60608211450000,2.21
02:31:1.00,165.36652455616667,-21.60609335650000,2.33
02:31:2.00,165.36652307916665,-21.60610508966667,2.38
02:31:3.00,165.36652052500000,-21.60611707933333,2.35
02:31:4.00,165.36651868233332,-21.60612876916667,2.35
02:31:5.00,165.36651634666666,-21.60614102083333,2.27
02:31:6.00,165.36651478583335,-21.60615398433333,2.08
02:31:7.00,165.36651247483334,-21.60616656533333,2.06
02:31:8.00,165.36651086449999,-21.60617912583333,2.08
02:31:9.00,165.36650947066667,-21.60619092300000,2.04
02:31:10.00,165.36650899266667,-21.60620261300000,2.04
02:31:11.00,165.36650780616668,-21.60621375433333,2.00
02:31:12.00,165.36650613949999,-21.60622607883333,1.75
02:31:13.00,165.36650516750001,-21.60623789033333,1.71
02:31:14.00,165.36650402750001,-21.60624985866666,1.76
02:31:15.00,165.36650345550001,-21.60626169766667,1.85
02:31:16.00,165.36650228933334,-21.60627424600000,1.94
02:31:17.00,165.36650220733333,-21.60628665600000,2.15
02:31:18.00,165.36650184083334,-21.60629876450000,2.19
02:31:19.00,165.36650104066666,-21.60631104050000,2.21
02:31:20.00,165.36650177633334,-21.60632307616667,2.04
02:31:21.00,165.36650122183335,-21.60633560216667,2.12
02:31:22.00,165.36650228616668,-21.60634800750000,2.10
02:31:23.00,165.36650244083333,-21.60636053883333,1.96
02:31:24.00,165.36650291833334,-21.60637297316667,2.14
02:31:25.00,165.36650352000001,-21.60638498500000,2.04
02:31:26.00,165.36650440466667,-21.60639726616667,1.89
02:31:27.00,165.36650658616668,-21.60640908033333,1.79
02:31:28.00,165.36650820450001,-21.60642116816667,1.82
02:31:29.00,165.36651034833332,-21.60643324650000,2.06
02:31:30.00,165.36651290316667,-21.60644496283333,2.19
02:31:31.00,165.36651567350000,-21.60645721183333,2.06
02:31:32.00,165.36651857816668,-21.60646922666667,1.61
02:31:33.00,165.36652139899999,-21.60648102750000,1.63
02:31:34.00,165.36652382916665,-21.60649209416667,1.86
02:31:35.00,165.36652675650001,-21.60650246583333,1.97
02:31:36.00,165.36653006416665,-21.60651161866667,1.92
02:31:37.00,165.36653452050001,-21.60652098950000,2.00
02:31:38.00,165.36653802800001,-21.60653088716667,2.19
02:31:39.00,165.36654118983333,-21.60654125033333,2.11
02:31:40.00,165.36654343766668,-21.60655227466667,1.91
02:31:41.00,165.36654586099999,-21.60656348600000,1.81
02:31:42.00,165.36654749549999,-21.60657503416667,1.76
02:31:43.00,165.36655104716667,-21.60658496983333,1.63
02:31:44.00,165.36655426083334,-21.60659428450000,1.63
02:31:45.00,165.36655771950001,-21.60660381350000,1.74
02:31:46.00,165.36656108666668,-21.60661351150000,1.68
02:31:47.00,165.36656455500000,-21.60662318216667,1.88
02:31:48.00,165.36656688833332,-21.60663185416667,2.29
02:31:49.00,165.36656941366667,-21.60664087083333,2.37
02:31:50.00,165.36657094516667,-21.60665072483333,2.50
02:31:51.00,165.36657307716666,-21.60666064716667,2.45
02:31:52.00,165.36657500766665,-21.60667110300000,2.42
02:31:53.00,165.36657774099999,-21.60668237350000,2.40
02:31:54.00,165.36658028883335,-21.60669476350000,2.40
02:31:55.00,165.36658318249999,-21.60670596283333,2.52
02:31:56.00,165.36658560483335,-21.60671745400000,2.48
02:31:57.00,165.36658749200001,-21.60672928750000,2.43
02:31:58.00,165.36658956516666,-21.60674195250000,2.30
02:31:59.00,165.36659176966666,-21.60675410933333,2.23
02:32:0.00,165.36659408383332,-21.60676675983333,2.31
02:32:1.00,165.36659666316666,-21.60677967716667,2.32
02:32:2.00,165.36659978533334,-21.60679217600000,2.27
02:32:3.00,165.36660312999999,-21.60680486783333,2.44
02:32:4.00,165.36660630416668,-21.60681875583333,2.25
02:32:5.00,165.36660960450001,-21.60683291950000,2.41
02:32:6.00,165.36661181966667,-21.60684674200000,2.41
02:32:7.00,165.36661276833334,-21.60686029200000,2.42
02:32:8.00,165.36661482349999,-21.60687365850000,2.48
02:32:9.00,165.36661663866667,-21.60688704050000,2.42
02:32:10.00,165.36661826266666,-21.60690051733333,2.42
02:32:11.00,165.36661922600001,-21.60691387283333,2.49
02:32:12.00,165.36662022199999,-21.60692716583333,2.60
02:32:13.00,165.36662201866667,-21.60693998783333,2.48
02:32:14.00,165.36662361383333,-21.60695299383333,2.57
02:32:15.00,165.36662581233333,-21.60696649700000,2.46
02:32:16.00,165.36662831783335,-21.60697999816667,2.45
02:32:17.00,165.36662997683334,-21.60699443300000,2.33
02:32:18.00,165.36663237183333,-21.60700878016667,2.46
02:32:19.00,165.36663371033333,-21.60702403783333,2.47
02:32:20.00,165.36663618300000,-21.60703892150000,2.52
02:32:21.00,165.36663790899999,-21.60705340133333,2.51
02:32:22.00,165.36663935583334,-21.60706749266667,2.55
02:32:23.00,165.36664064283335,-21.60708007266667,2.56
02:32:24.00,165.36664235666666,-21.60709242400000,2.57
02:32:25.00,165.36664400716666,-21.60710512783333,2.62
02:32:26.00,165.36664544999999,-21.60711787833333,2.49
02:32:27.00,165.36664797033333,-21.60713077316667,2.50
02:32:28.00,165.36664890599999,-21.60714344716667,2.54
02:32:29.00,165.36664947400001,-21.60715499150000,2.62
02:32:30.00,165.36665012983335,-21.60716664050000,2.56
02:32:31.00,165.36665088383333,-21.60717786633333,2.55
02:32:32.00,165.36665101983334,-21.60718920333333,2.59
02:32:33.00,165.36665199766668,-21.60720022283333,2.52
02:32:34.00,165.36665329783332,-21.60721149616667,2.48
02:32:35.00,165.36665520633332,-21.60722333500000,2.51
02:32:36.00,165.36665736800001,-21.60723595183334,2.48
02:32:37.00,165.36665910400001,-21.60724723583333,2.37
02:32:38.00,165.36666117116667,-21.60725853716667,2.58
02:32:39.00,165.36666290633335,-21.60727045000000,2.44
02:32:40.00,165.36666503800001,-21.60728115233333,2.46
02:32:41.00,165.36666590866668,-21.60729257583333,2.40
02:32:42.00,165.36666679999999,-21.60730450916667,2.42
02:32:43.00,165.36666798633334,-21.60731622866667,2.39
02:32:44.00,165.36666877316668,-21.60732817150000,2.42
02:32:45.00,165.36666984316668,-21.60734048166667,2.30
02:32:46.00,165.36667085666667,-21.60735197716667,2.44
02:32:47.00,165.36667258599999,-21.60736401683333,2.60
02:32:48.00,165.36667378600001,-21.60737587300000,2.65
02:32:49.00,165.36667543633334,-21.60738591116667,2.58
02:32:50.00,165.36667732699999,-21.60739682233333,2.59
02:32:51.00,165.36667876416666,-21.60740877316667,2.55
02:32:52.00,165.36668008316667,-21.60742033133333,2.56
02:32:53.00,165.36668143816667,-21.60743262016667,2.56
02:32:54.00,165.36668249516666,-21.60744515533333,2.44
02:32:55.00,165.36668380683332,-21.60745700766667,2.63
02:32:56.00,165.36668530500000,-21.60746872366667,2.53
02:32:57.00,165.36668618133334,-21.60748058700000,2.22
02:32:58.00,165.36668744966667,-21.60749050966667,2.26
02:32:59.00,165.36668795300000,-21.60750044200000,2.48
02:33:0.00,165.36668814050000,-21.60751090500000,2.47
02:33:1.00,165.36668930900001,-21.60751951883333,2.43
02:33:2.00,165.36668974200001,-21.60752853150000,2.38
02:33:3.00,165.36668966183333,-21.60753706966667,2.50
02:33:4.00,165.36668940616667,-21.60754555166667,2.51
02:33:5.00,165.36669011900000,-21.60755410383333,2.56
02:33:6.00,165.36669039633333,-21.60756272633333,2.54
02:33:7.00,165.36669112316667,-21.60757115050000,2.62
02:33:8.00,165.36669277333334,-21.60757973816667,2.49
02:33:9.00,165.36669414799999,-21.60758670766667,2.59
02:33:10.00,165.36669487416665,-21.60759516566667,2.63
02:33:11.00,165.36669661683334,-21.60760309083333,2.68
02:33:12.00,165.36669829183333,-21.60761065383333,2.67
02:33:13.00,165.36669972550001,-21.60761787966667,2.66
02:33:14.00,165.36670237516665,-21.60762419033333,2.67
02:33:15.00,165.36670415033333,-21.60763046700000,2.71
02:33:16.00,165.36670681633333,-21.60763611416667,2.56
02:33:17.00,165.36670989350000,-21.60764113333333,2.71
02:33:18.00,165.36671300283334,-21.60764669983333,2.66
02:33:19.00,165.36671640183334,-21.60765249850000,2.66
02:33:20.00,165.36671944916668,-21.60765881833333,2.62
02:33:21.00,165.36672282900000,-21.60766535766667,2.62
02:33:22.00,165.36672612983332,-21.60767199683333,2.61
02:33:23.00,165.36672950933334,-21.60767882466667,2.59
02:33:24.00,165.36673228999999,-21.60768628616667,2.59
02:33:25.00,165.36673512783332,-21.60769405483333,2.58
02:33:26.00,165.36673748850001,-21.60770196900000,2.55
02:33:27.00,165.36674036583332,-21.60770974650000,2.54
02:33:28.00,165.36674257333334,-21.60771830750000,2.42
02:33:29.00,165.36674465533332,-21.60772721700000,2.48
02:33:30.00,165.36674844566667,-21.60773407600000,2.41
02:33:31.00,165.36675173099999,-21.60774059083333,2.44
02:33:32.00,165.36675414616667,-21.60774868533333,2.41
02:33:33.00,165.36675680750000,-21.60775649216666,2.48
02:33:34.00,165.36675971733334,-21.60776462266667,2.51
02:33:35.00,165.36676220933333,-21.60777303533333,2.56
02:33:36.00,165.36676322000000,-21.60778200100000,2.50
02:33:37.00,165.36676423800000,-21.60778983800000,2.56
02:33:38.00,165.36676536066668,-21.60779879200000,2.53
02:33:39.00,165.36676618933333,-21.60780744750000,2.59
02:33:40.00,165.36676694200000,-21.60781579183333,2.53
02:33:41.00,165.36676759866666,-21.60782424050000,2.54
02:33:42.00,165.36676851749999,-21.60783336566667,2.54
02:33:43.00,165.36677010333332,-21.60784220233333,2.51
02:33:44.00,165.36677154850000,-21.60785097366667,2.52
02:33:45.00,165.36677402316667,-21.60785950366667,2.53
02:33:46.00,165.36677586650001,-21.60786875666667,2.53
02:33:47.00,165.36677836933333,-21.60787853666667,2.53
02:33:48.00,165.36678064533334,-21.60788909983333,2.48
02:33:49.00,165.36678385783333,-21.60789928333333,2.55
02:33:50.00,165.36678636299999,-21.60790936466667,2.51
02:33:51.00,165.36678894600001,-21.60791974150000,2.60
02:33:52.00,165.36679187666667,-21.60793000133333,2.58
02:33:53.00,165.36679482950001,-21.60793906800000,2.63
02:33:54.00,165.36679745733332,-21.60794873083333,2.64
02:33:55.00,165.36680006283333,-21.60795901733333,2.66
02:33:56.00,165.36680284849999,-21.60796911866667,2.54
02:33:57.00,165.36680615283333,-21.60797881800000,2.69
02:33:58.00,165.36680820466665,-21.60799052733333,2.62
02:33:59.00,165.36681069816666,-21.60800055500000,2.67
02:34:0.00,165.36681306883332,-21.60800969400000,2.72
02:34:1.00,165.36681460316666,-21.60801895233333,2.71
02:34:2.00,165.36681628833333,-21.60802822683333,2.69
02:34:3.00,165.36681704166668,-21.60803767183333,2.54
02:34:4.00,165.36681741749999,-21.60804651700000,2.38
02:34:5.00,165.36681756316668,-21.60805618433333,2.46
02:34:6.00,165.36681916399999,-21.60806545533333,2.47
02:34:7.00,165.36682041316666,-21.60807454333333,2.55
02:34:8.00,165.36682211166666,-21.60808398750000,2.56
02:34:9.00,165.36682445800000,-21.60809358733333,2.58
02:34:10.00,165.36682713249999,-21.60810334050000,2.42
02:34:11.00,165.36683103366667,-21.60811323916667,2.35
02:34:12.00,165.36683470049999,-21.60812354283333,2.27
02:34:13.00,165.36683872583333,-21.60813436300000,2.44
02:34:14.00,165.36684283916668,-21.60814539666667,2.46
02:34:15.00,165.36684762816665,-21.60815671633333,2.48
02:34:16.00,165.36685280066666,-21.60816777266667,2.51
02:34:17.00,165.36685801316668,-21.60817878783333,2.50
02:34:18.00,165.36686252883334,-21.60819089666667,2.51
02:34:19.00,165.36686730533333,-21.60820250583333,2.47
02:34:20.00,165.36687108933333,-21.60821448950000,2.44
02:34:21.00,165.36687511783333,-21.60822666566667,2.41
02:34:22.00,165.36687940333334,-21.60823785566667,2.38
02:34:23.00,165.36688348316667,-21.60824927383333,2.29
02:34:24.00,165.36688786183333,-21.60826053533333,2.33
02:34:25.00,165.36689273433333,-21.60827244833333,2.46
02:34:26.00,165.36689762483334,-21.60828345466667,2.47
02:34:27.00,165.36690348466666,-21.60829341266667,2.51
02:34:28.00,165.36690778799999,-21.60830561483333,2.50
02:34:29.00,165.36691205450001,-21.60831701950000,2.50
02:34:30.00,165.36691595716667,-21.60832795866667,2.46
02:34:31.00,165.36691827650000,-21.60833931033333,2.43
02:34:32.00,165.36691982700000,-21.60835106416667,2.40
02:34:33.00,165.36692207466666,-21.60836290650000,2.37
02:34:34.00,165.36692484849999,-21.60837436150000,2.35
02:34:35.00,165.36692703200001,-21.60838592133333,2.35
02:34:36.00,165.36692881766666,-21.60839891933333,2.44
02:34:37.00,165.36693201049999,-21.60841117183333,2.51
02:34:38.00,165.36693366399999,-21.60842241583333,2.50
